facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
KIAMBU DISTRICT HOSPITAL,KIAMBAA,KIAMBAA S/AREA,KIAMBU,GATUNDU NORTH,1,MOH,-1.16938,36.82993
TIGONI SUB-DISTRICT HOSPITAL,LIMURU,TIGONI,KIAMBU,GATUNDU NORTH,1,MOH,-1.12859,36.6493
KERUGOYA DISTRICT HOSPITAL,CENTRAL,KERUGOYA,KIRINYAGA,GICHUGU,1,MOH,-0.50132,37.2805
MARAGUA DISTRICT HOSPITAL RHTC,MARAGUA,NGINDA,MURANG'A,MATHIOYA,1,MOH,-0.78693,37.12663
MURANGA DISTRICT HOSPITAL,KIHARU,TOWNSHIP,MURANG'A,MATHIOYA,1,MOH,-0.71587,37.15985
MURIRANJAS SUB-DISTRICT HOSP.,KAHURO,MUGOIRI,MURANG'A,MATHIOYA,1,MOH,-0.74315,36.97306
NYAHURURU DISTRICT HOSPITAL,OL JORO OROK,GATIMU,NYANDARUA,KIPIPIRI,1,MOH,0.023274,36.3418
OL'KALOU DISTRICT HOSPITAL,OL KALOU,OL KALOU,NYANDARUA,KIPIPIRI,1,MOH,-0.2707,36.3735
KARATINA SUB-DISTRICT HOSPITAL,MATHIRA,KARATINA,NYERI,KIENI,1,MOH,-0.47339,37.12943
MT. KENYA HOSPITAL,MUNICIPALITY,MUKARO,NYERI,KIENI,1,MOH,-0.42414,36.93414
MUKURWENI SUB-DISTRICT HOSP.,MUKURWE-INI,MUHITO,NYERI,KIENI,1,MOH,-0.55924,37.04464
OTHAYA SUB-DISTRICT HOSPITAL,OTHAYA,IRIA-INI,NYERI,KIENI,1,MOH,-0.5399,36.93995
GATUNDU GENERAL SUB-DISTRICT HOSPITAL,GATUNDU,NGENDA,KIAMBU,GATUNDU NORTH,1,MOH,-1.000232,36.902312
NYERI PROVINCIAL GENERAL HOSP.,MUNICIPALITY,MUKARO,NYERI,KIENI,2,MOH,-0.42399,36.96113
THIKA DISTRICT HOSPITAL,MUNICIPALITY,THIKA MUNICIPALITY,KIAMBU,GATUNDU NORTH,1,MOH,-1.03678,37.0776
KILIFI DISTRICT HOSPITAL,BAHARI,KILIFI TOWNSHIP,KILIFI,KALOLENI,1,MOH,-3.63205,39.85722
KINANGO SUB-DISTRICT HOSPITAL,KINANGO,KINANGO,KWALE,KINANGO,1,MOH,-4.13986,39.3132
KWALE SUB-DISTRICT HOSPITAL,MATUGA,GOLINI,KWALE,KINANGO,1,MOH,-4.17514,39.456
MSAMBWENI DISTRICT HOSPITAL,MSAMBWENI,MSAMBWENI,KWALE,KINANGO,1,MOH,-4.48007,39.4708
LAMU DISTRICT HOSPITAL,AMU,SHELLA MANDA,LAMU,LAMU WEST,1,MOH,-2.27857,40.906769
MUKOWE HOSPITAL,HINDI,MOKOWE,LAMU,LAMU WEST,1,MOH,-2.234325,40.860674
MALINDI DISTRICT HOSPITAL,MALINDI,MALINDI,KILIFI,KALOLENI,1,MOH,-3.2165,40.1182
PORT REITZ DISTRICT HOSPITAL,CHANGAMWE,PORT REITZ,MOMBASA,KISAUNI,1,MOH,-4.039267,39.602867
MOI VOI DISTRICT HOSPITAL,VOI,VOI,TAITA TAVETA,WUNDANYI,1,MOH,-3.39091,38.56205
TAVETA DISTRICT HOSPITAL,TAVETA,BOMANI,TAITA TAVETA,WUNDANYI,1,MOH,-3.3987,37.67725
WESU DISTRICT HOSPITAL,WUNDANYI,WUNDANYI,TAITA TAVETA,WUNDANYI,1,MOH,-3.40885,38.342159
HOLA DISTRICT HOSPITAL,GALORE,KIARIKUNGU,TANA RIVER,GALOLE,1,MOH,-1.4988,40.030251
NGAO SUB-DISTRICT HOSPITAL,GARSEN,KIPAO,TANA RIVER,GALOLE,1,MOH,-2.41221,40.201099
GITHONGO SUB DISTRICT HOSPITAL,ABOTHUGUCHI WEST,GITHONGO EAST,MERU,NORTH IMENTI,1,MOH,-0.005739,37.6215
MERU DISTRICT HOSPITAL,MIRIGA MIERU WEST,MUNICIPALITY,MERU,NORTH IMENTI,1,MOH,0.060928,37.6641
RUNYENJES SUB-DISTRICT HOSPITAL,RUNYENJES,RUNYENJES TOWN,EMBU,RUNYENJES,1,MOH,-0.424635,37.5698
ISIOLO DISTRICT HOSPITAL,CENTRAL,CENTRAL,ISIOLO,ISIOLO NORTH,1,MOH,0.3751,37.5812
KITUI DISTRICT HOSPITAL,CENTRAL,TOWNSHIP,KITUI,KITUI EAST,1,MOH,-1.3666,38.0163
KANGUNDO HOSPITAL,KANGUNDO,KANGUNDO,MACHAKOS,YATTA,1,MOH,-1.28944,37.3445
KATHIANI HOSPITAL,KATHIANI,KATHIANI,MACHAKOS,YATTA,1,MOH,-1.41667,37.3291
MACHAKOS DISTRICT HOSPITAL,CENTRAL,MUMBUNI,MACHAKOS,YATTA,1,MOH,-1.502321,37.263232
MAKINDU SUB-DISTRICT HOSPITAL,MAKINDU,MAKINDU,MAKUENI,KIBWEZI WEST,1,MOH,-2.28127,37.82413
MAKUENI DISTRICT HOSPITAL,WOTE,WOTE,MAKUENI,KIBWEZI WEST,1,MOH,-1.78103,37.62703
MBOONI  SDH,MBOONI,MBOONI,MAKUENI,KIBWEZI WEST,1,MOH,-1.65649,37.45319
NUNGUNI SDH,KILUNGU,KITHEMBE,MAKUENI,KIBWEZI WEST,1,MOH,-1.78343,37.35991
MARSABIT DISTRICT HOSPITAL,CENTRAL,NAGAYO,MARSABIT,NORTH HORR,1,MOH,2.324839,37.985249
ISHIARA SUB-DISTRICT HOSPITAL,EVURORE,ISHIARA,EMBU,RUNYENJES,1,MOH,-0.452179,37.7833
MBEERE DISTRICT HOSP,SIAKAGO,NTHAWA,EMBU,RUNYENJES,1,MOH,-0.575225,37.640991
MOYALE DISTRICT HOSPITAL,CENTRAL,BUTIYE,MARSABIT,NORTH HORR,1,MOH,3.499712,39.026077
KYUSO SUB-DISTRICT HOSP,KYUSO,KIMANGAO,KITUI,KITUI EAST,1,MOH,-0.53231,38.16232
MIGWANI SUB-DISTRICT HOSP,MIGWANI,MIGWANI,KITUI,KITUI EAST,1,MOH,-1.08919,38.0062
MWINGI DISTRICT HOSPITAL,CENTRAL,MWINGI,KITUI,KITUI EAST,1,MOH,-0.9334,38.0673
MIATHENE SUB-DISTRICT HOSPITAL,TIGANIA WEST,MIATHENE,MERU,NORTH IMENTI,1,MOH,0.14875,37.7912
NYAMBENE DISTRICT HOSPITAL,IGEMBE CENTRAL,MAUA,MERU,NORTH IMENTI,1,MOH,0.242123,37.93232
CHUKA HOSPITAL,CHUKA,KIANG'ONDU,THARAKA - NITHI,MAARA,1,MOH,-0.32748,37.645496
MAGUTUNI SUB-DISTRICT HOSPITAL,MWIMBI,KIERA,THARAKA - NITHI,MAARA,1,MOH,-0.23523,37.751235
THARAKA DISTRICT HOSPITAL,CENTRAL THARAKA,MARIMANTI,THARAKA - NITHI,MAARA,1,MOH,-0.16,37.97
MANDERA DISTRICT HOSPITAL,CENTRAL,BULLA JAMHURIA,MANDERA,MANDERA SOUTH,1,MOH,3.954424,41.861814
WAJIR DISTRICT HOSPITAL,GRIFTU,KUKALA,WAJIR,WAJIR WEST,1,MOH,1.6909,40.0396
MATHARI MENTAL HOSPITAL,CENTRAL,MATHARE,NAIROBI,KAMUKUNJI,1,MOH,-1.259489,36.844302
MBAGATHI DISTRICT HOSPITAL,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,1,MOH,-1.307925,36.802242
BONDO DISTRICT HOSPITAL,BONDO,BONDO TOWNSHIP,SIAYA,UGENYA,1,MOH,-0.09021,34.2745
OGEMBO DISTRICT HOSPITAL,OGEMBO,MAJOGE CHACHE,KISII,NYARIBARI CHACHE,1,MOH,-0.793983,34.725517
HOMA BAY DISTRICT HOSPITAL,ASEGO,HOMA BAY TOWN,HOMA BAY,RANGWE,1,MOH,-0.52474,34.4599
GESUSU SUB DISTRICT HOSPITAL,MASABA,NYARIBARI MASABA,KISII,NYARIBARI CHACHE,1,MOH,-0.8712,34.9087
KEUMBU SUB DISTRICT HOSPITAL,KEUMBU,KEUMBU,KISII,NYARIBARI CHACHE,1,MOH,-0.731217,34.8467
KISII DISTRICT HOSPITAL,TOWNSHIP,TOWNSHIP,KISII,NYARIBARI CHACHE,1,MOH,-0.66815,34.7704
NYAMIRA DISTRICT HOSPITAL,RIGOMA,GESIMA,NYAMIRA,NORTH MUGIRANGO,1,MOH,-0.67554,34.9414
KISUMU DISTRICT HOSPITAL,WINAM,TOWNSHIP,KISUMU,NYAKACH,1,MOH,-0.105021,34.7606
VICTORIA HOSPITAL,WINAM,WEST KOLWA,KISUMU,NYAKACH,1,MOH,-0.117106,34.7576
KEHANCHA DISTRICT HOSPITAL,KEGONGA,MAETA,MIGORI,KURIA EAST,1,MOH,-1.1765,34.6338
MIGORI DISTRICT HOSPITAL,SUBA EAST,SUNA RAGANA,MIGORI,KURIA EAST,1,MOH,-1.06321,34.4694
AHERO HOSPITAL,NYANDO,KAKOLA,KISUMU,NYAKACH,1,MOH,-0.165363,34.9234
MUHORONI SUB-DISTRICT HOSP.,MUHORONI,GOD NYITHINDO,KISUMU,NYAKACH,1,MOH,-0.154993,35.1889
PAP ONDITI HOSP,LOWER NYAKACH,PAP ONDITI,KISUMU,NYAKACH,1,MOH,-0.313172,34.9355
KENDU SUB-DISTRICT HOSPITAL,EAST KARACHUONYO,NORTH EAST KARACHUON,HOMA BAY,RANGWE,1,MOH,-0.36046,34.6335
OYUGIS DISTRICT HOSPITAL,KASIPUL,WEST KAMAGAK,HOMA BAY,RANGWE,1,MOH,-0.4921,34.7295
SIAYA DISTRICT HOSPITAL,KAREMO,TOWNSHIP,SIAYA,UGENYA,1,MOH,0.063129,34.2839
RAGIA HEALTH CENTRE,LARI,KAMAE,KIAMBU,GATUNDU NORTH,3,MOH,-0.791728,36.6759
YALA SUB-DISTRICT HOSPITAL,YALA,YALA TOWNSHIP,SIAYA,UGENYA,1,MOH,0.101019,34.5375
KISEGI SUB-DISTRICT HOSPITAL,GWASSI,GWASSI NORTH,HOMA BAY,RANGWE,1,MOH,-0.63123,34.08234
SINDO RHDC  AGG. SUBA DISTRICT HOSPITAL,CENTRAL,KAKSINGRI WEST,HOMA BAY,RANGWE,1,MOH,-0.541249,34.1658
"TOM MBOYA MEMORIAL DISTRICT HOSP, MBITA",MBITA,RUSINGA WEST,HOMA BAY,RANGWE,1,MOH,-0.40123,34.17231
KABARNET DISTRICT HOSPITAL,KABARNET,KABARNET MOSOP,BARINGO,BARINGO CENTRAL,1,MOH,0.4951,35.735
KAPEDO SUB-DISTRICT HOSPITAL,NGINYANG,RIBKWO,BARINGO,BARINGO CENTRAL,1,MOH,1.159,36.0901
LONGISA DISTRICT HOSPITAL,LONGISA,CHEBOIN,BOMET,CHEPALUNGU,1,MOH,-0.85793,35.38941
SIGOR SUB-DISTRICT HOSPITAL,SIGOR,SIGOR,BOMET,CHEPALUNGU,1,MOH,-0.918919,35.2973
CHEPTALAL SUB-DISRICT HOSPITAL,KONOIN,CHEPTALAL,BOMET,CHEPALUNGU,1,MOH,-0.610343,35.3878
KAPKATET DISTRICT HOSPITAL,BURET,KAPKATET,KERICHO,BELGUT,1,MOH,-0.62738,35.19319
KAJIADO DISTRICT HOSPITAL,CENTRAL,TOWNSHIP,KAJIADO,KAJIADO CENTRAL,1,MOH,-1.8526,36.7832
LOITOKITOK SUB-DISTRICT HOSP,LOITOKITOK,KUKU,KAJIADO,KAJIADO CENTRAL,1,MOH,-2.9356,37.5549
ITEN DISTRICT HOSPITAL,KAMARINY,IRONG,ELEGEYO-MARAKWET,MARAKWET EAST,1,MOH,0.6743,35.5058
KAPTARAKWA SUB-DISTRICT HOSP,CHEPKORIO,KAPTARAKWA,ELEGEYO-MARAKWET,MARAKWET EAST,1,MOH,0.469086,35.5439
KOCHOLWO SUB-DISTRICT HOSP,CHEPKORIO,TUMEIYO,ELEGEYO-MARAKWET,MARAKWET EAST,1,MOH,0.26232,35.55123
TAMBACH SUB-DISTRICT HOSPITAL,TAMBACH,KIPTUILONG,ELEGEYO-MARAKWET,MARAKWET EAST,1,MOH,0.6,35.5163
KERICHO DISTRICT HOSPITAL,AINAMOI,TOWNSHIP,KERICHO,BELGUT,1,MOH,-0.36896,35.27941
LONDIANI SUB-DISTRICT HOSPITAL,LONDIANI,LONDIANI,KERICHO,BELGUT,1,MOH,-0.158796,35.5893
SIGOWET NYAYO HOSPITAL,SIGOWET,KEBENETI,KERICHO,BELGUT,1,MOH,-0.388777,35.0476
WANGIGE HEALTH CENTRE,KIKUYU,NYATHUNA,KIAMBU,GATUNDU NORTH,3,MOH,-1.21737,36.7261
ELDAMA RAVINE DISTRICT HOSPITAL,ELDAMA RAVINE,LEMBUS CENTRAL,BARINGO,BARINGO CENTRAL,1,MOH,0.05,35.7167
NANYUKI DISTRICT HOSPITAL,CENTRAL,NANYUKI,LAIKIPIA,LAIKIPIA NORTH,1,MOH,0.019,37.0709
ELBURGON HOSPITAL,ELBURGON,ELBURGON,NAKURU,SUBUKIA,1,MOH,-0.30325,35.80739
GILGIL HOSPITAL,GILGIL,GILGIL,NAKURU,SUBUKIA,1,MOH,-0.50339,36.32343
MOLO HOSPITAL,MOLO,MOLO,NAKURU,SUBUKIA,1,MOH,-0.24499,35.74045
NAIVASHA DISTRICT HOSPITAL,NAIVASHA,NAIVASHA TOWN,NAKURU,SUBUKIA,1,MOH,-0.71633,36.43753
KAPSABET DISTRICT HOSP.,KAPSABET,KAPSABET,NANDI,MOSOP,1,MOH,0.2028,35.0954
NANDI HILLS SUB-DIST HOSP,NANDI HILLS,NANDI HILLS,NANDI,MOSOP,1,MOH,0.1172,35.1831
NAROK DISTRICT HOSPITAL,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,1,MOH,-1.0961,35.8636
BARAGOI SUB-DISTRICT HOSPITAL,BARAGOI,BARAGOI,SAMBURU,SAMBURU NORTH,1,MOH,1.79106,36.788
MARALAL DISTRICT HOSPITAL,KIRISIA,MARALAL TOWN,SAMBURU,SAMBURU NORTH,1,MOH,1.1478,36.677
KILGORIS DIST HOSP/TRANSMARA DIST HOSP,KILGORIS,OLOLCHANI,NAROK,NAROK SOUTH,1,MOH,-1.00212,34.8789
LOLGORIEN  SUB DISTRICT HOSPITAL,LOLGORIAN,MOYOI,NAROK,NAROK SOUTH,1,MOH,-1.22817,34.8062
KITALE DISTRICT HOSPITAL,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,1,MOH,1.03732,35.0189
LODWAR DISTRICT HOSPITAL,CENTRAL,LODWAR TOWN,TURKANA,TURKANA NORTH,1,MOH,3.1176,35.5998
LOKICHOGIO DISTRICT HOSPITAL,LOKICHOGGIO,MOGILA,TURKANA,TURKANA NORTH,1,MOH,4.18101,34.3924
LOKITAUNG SUB-DISTRICT HOSP.,LOKITAUNG,LOKITAUNG,TURKANA,TURKANA NORTH,1,MOH,4.2679,35.7514
KAPENGURIA DISTRICT HOSPITAL,KAPENGURIA,KAPENGURIA,WEST POKOT,KAPENGURIA,1,MOH,1.2335,35.1162
BUNGOMA DISTRICT HOSPITAL,KANDUYI,TOWNSHIP,BUNGOMA,KANDUYI,1,MOH,0.572,34.557
KIMILILI SUB-DISTRICT HOSPITAL,KIMILILI,KIMILILI,BUNGOMA,KANDUYI,1,MOH,0.788988,34.712779
WEBUYE DISTRICT HOSPITAL,WEBUYE,WEBUYE,BUNGOMA,KANDUYI,1,MOH,0.5971,34.7585
BUSIA DISTRICT HOSPITAL,TOWNSHIP,TOWNSHIP,BUSIA,TESO NORTH,1,MOH,0.460407,34.104497
PORT VICTORIA SUB-DISTRICT HOSP,BUDALANGI,BUNYALA WEST,BUSIA,TESO NORTH,1,MOH,0.097198,33.975805
BUTERE DISTRICT HOSPITAL,BUTERE,TOWNSHIP,KAKAMEGA,SHINYALU,1,MOH,0.208536,34.493471
MANYALA SUB-DISTRICT HOSPITAL,BUTERE,MANYALA,KAKAMEGA,SHINYALU,1,MOH,0.160402,34.45262
LUMAKANDA DISTRICT HOSPITAL,LUGARI,LUMAKANDA,KAKAMEGA,SHINYALU,1,MOH,0.634782,34.97615
KAPSOKWONY DISTRICT HOSP,KAPSOKWONY,KAPSOKWONY,BUNGOMA,KANDUYI,1,MOH,0.846079,34.7148
VIHIGA DISTRICT HOSPITAL,VIHIGA,WAMULUMA,VIHIGA,HAMISI,1,MOH,0.08365,34.72989
SYATHANI DISP,MUTONGONI,,,,4,MOH,0.00E+00,0.00E+00
COAST PROVINCIAL GENERAL HOSP.,ISLAND,OLD TOWN,MOMBASA,KISAUNI,2,MOH,-4.059355,39.677362
EMBU PGH,CENTRAL,MUNICIPALITY,EMBU,RUNYENJES,2,MOH,-0.522973,37.453604
GARISSA PROVINCIAL GENERAL HOSPITAL,CENTRAL,WABERI,GARISSA,BALAMBALA,2,MOH,-0.334012,39.7739
KENYATTA NATIONAL HOSPITAL,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,2,MOH,-1.300876,36.806388
NYANZA PROVINCIAL GENERAL HOSP,WINAM,S.W KISUMU,KISUMU,NYAKACH,2,MOH,-0.0919,34.6732
NAKURU PGH ANNEX,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,2,MOH,-0.2797,36.08029
NAKURU PROVINCIAL GENERAL HOSP,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,2,MOH,-0.28133,36.0732
ELDORET DISTRICT HOSPITAL MOI REFERRAL & TEACHING HOSPITAL,SOY,KIBULGENY,UASIN GISHU,AINABKOI,2,MOH,0.538332,35.2886
KAKAMEGA PROVINCIAL GENERAL,MUNICIPALITY,BUKHUNGU,KAKAMEGA,SHINYALU,2,MOH,0.27498,34.758806
GITHIGA HEALTH CENTRE,GITHUNGURI,GITHIGA,KIAMBU,GATUNDU NORTH,3,MOH,-1.083,36.7462
GITHUNGURI HEALTH CENTRE,GITHUNGURI,GITHUNGURI,KIAMBU,GATUNDU NORTH,3,MOH,-1.05339,36.788
GITIHA HEALTH CENTRE,GITHUNGURI,GITHIGA,KIAMBU,GATUNDU NORTH,3,MOH,-1.0742,36.6896
KAGAA HEALTH CENTRE,GITHUNGURI,GITHUNGURI,KIAMBU,GATUNDU NORTH,3,MOH,-1.05093,36.7467
KAGWE HEALTH CENTRE,LARI,GATAMAIYU,KIAMBU,GATUNDU NORTH,3,MOH,-1.00448,36.7392
KARAI HEALTH CENTRE,KIKUYU,KARAI,KIAMBU,GATUNDU NORTH,3,MOH,-1.28069,36.5765
KARURI HEALTH CENTRE,KIAMBAA,KIAMBAA,KIAMBU,GATUNDU NORTH,3,MOH,-1.18431,36.7399
KIENI HEALTH CENTRE,LARI,KAMAE,KIAMBU,GATUNDU NORTH,3,MOH,-0.858108,36.619369
KIGUMO HEALTH CENTRE,GITHUNGURI,KOMOTHAI,KIAMBU,GATUNDU NORTH,3,MOH,-1.031082,36.82658
KIHARA HEALTH CENTRE,KIAMBAA,KIHARA,KIAMBU,GATUNDU NORTH,3,MOH,-1.21091,36.7386
KINALE HEALTH CENTRE,LARI,KINALE,KIAMBU,GATUNDU NORTH,3,MOH,-0.908237,36.6157
LARI HEALTH CENTRE,LARI,KIRENGA,KIAMBU,GATUNDU NORTH,3,MOH,-1.02791,36.605
LIMURU HEALTH CENTRE,LIMURU,LIMURU,KIAMBU,GATUNDU NORTH,3,MOH,-1.11593,36.6366
LUSIGETTI HEALTH CENTRE,KIKUYU,KARAI,KIAMBU,GATUNDU NORTH,3,MOH,-1.28,36.6136
NDEIYA HEALTH CENTRE,LIMURU,NDEIYA,KIAMBU,GATUNDU NORTH,3,MOH,-1.16975,36.5942
NGEWA HEALTH CENTRE,GITHUNGURI,NGEWA,KIAMBU,GATUNDU NORTH,3,MOH,-1.092343,36.863964
NYAGA HEALTH CENTRE,GITHUNGURI,NGEWA,KIAMBU,GATUNDU NORTH,3,MOH,-1.10326,36.8716
NYATHUNA HEALTH CENTRE,KIKUYU,NYATHUNA,KIAMBU,GATUNDU NORTH,3,MOH,-1.20204,36.7031
SULMAC HEALTH CENTRE,,,,,3,MOH,0.00E+00,0.00E+00
BARICHO HEALTH CENTRE,NDIA,MWERUA,KIRINYAGA,GICHUGU,3,MOH,-0.563405,37.2305
KANGARU HEALTH CENTRE,NDIA,MWERUA,KIRINYAGA,GICHUGU,3,MOH,-0.582134,37.221234
KIAMUTUGU HEALTH CENTRE,GICHUGU,NJUKIINI,KIRINYAGA,GICHUGU,3,MOH,-0.47279,37.4018
KIANYAGA H C,GICHUGU,BARAGWI,KIRINYAGA,GICHUGU,3,MOH,-0.50091,37.3296
KIMBIMBI HEALTH CENTRE,MWEA,NYANGATI,KIRINYAGA,GICHUGU,3,MOH,-0.61705,37.3651
SAGANA H C,NDIA,KIINE SOUTH,KIRINYAGA,GICHUGU,3,MOH,-0.67113,37.2187
KANDARA HEALTH CENTRE,KANDARA,MURUKA,MURANG'A,MATHIOYA,3,MOH,-0.897239,37.038699
MAKUYU HEALTH CENTRE,MAKUYU,MAKUYU,MURANG'A,MATHIOYA,3,MOH,-0.89406,37.18661
MARAGUA RIDGE HEALTH CENTRE,MARAGUA,MARAGUA RIDGE,MURANG'A,MATHIOYA,3,MOH,-0.77,37.2
SABASABA SUB HEALTH CENTRE,MARAGUA,KAHUMBU,MURANG'A,MATHIOYA,3,MOH,-0.87501,37.1361
KANGEMA HEALTH CENTRE,KANGEMA,MUGURU,MURANG'A,MATHIOYA,3,MOH,-0.68709,36.97065
KIROGO HEALTH CENTRE,KAHURO,KAHUHIA,MURANG'A,MATHIOYA,3,MOH,-0.71178,37.02947
MUGEKA HEALTH CENTRE,KIHARU,GATURI,MURANG'A,MATHIOYA,3,MOH,-0.63969,37.09145
TUTHU SUB HEALTH CENTRE,KANGEMA,KIRURI,MURANG'A,MATHIOYA,3,MOH,-0.6667,36.831081
ENGINEER HEALTH CENTRE,NORTH KINANGOP,ENGINEER,NYANDARUA,KIPIPIRI,3,MOH,-0.610526,36.5919
KARANGATHA HEALTH CENTRE,SOUTH KINANGOP,NYAKIO,NYANDARUA,KIPIPIRI,3,MOH,-0.78127,36.6182
LESHAU PONDO HEALTH CENTRE,OL JORO OROK,WERU,NYANDARUA,KIPIPIRI,3,MOH,-0.092321,36.421123
MAINA & MWANGI HEALTH CENTRE,OL JORO OROK,OL JORO OROK,NYANDARUA,KIPIPIRI,3,MOH,-0.144529,36.3269
MIRANGINE HEALTH CENTRE,OL KALOU,NDUNDORI,NYANDARUA,KIPIPIRI,3,MOH,-0.206317,36.254
NDARAGWA HEALTH CENTRE,NDARAGWA,KAHUTHA,NYANDARUA,KIPIPIRI,3,MOH,-0.040465,36.5441
NGANO H C,OL JORO OROK,GATANJE,NYANDARUA,KIPIPIRI,3,MOH,-0.095749,36.2833
NJABINI HEALTH CENTRE,SOUTH KINANGOP,NJABINI,NYANDARUA,KIPIPIRI,3,MOH,-0.721433,36.6657
WANJOHI HEALTH CENTRE,KIPIPIRI,WANJOHI,NYANDARUA,KIPIPIRI,3,MOH,-0.307129,36.5122
ENDARASHA HEALTH CENTRE,KIENI WEST,ENDARASHA,NYERI,KIENI,3,MOH,-0.307348,36.7948
GICHICHI SUB HEALTH CENTRE,OTHAYA,CHINGA,NYERI,KIENI,3,MOH,-0.57562,36.92429
GICHIRA HEALTH CENTRE,TETU,AGUTHI,NYERI,KIENI,3,MOH,-0.471847,37.019369
KAMOKO SUB HEALTH CENTRE,OTHAYA,MAHIGA,NYERI,KIENI,3,MOH,-0.514689,36.931145
KINUNGA HEALTH CENTRE,TETU,TETU,NYERI,KIENI,3,MOH,-0.441123,36.89
NARO MORU SUB HEALTH CENTRE,KIENI EAST,NAROMORU,NYERI,KIENI,3,MOH,-0.16667,37.02027
NGORANO HEALTH CENTRE,MATHIRA,NGORANO,NYERI,KIENI,3,MOH,-0.409901,37.064189
TOWN HEALTH CENTRE,MUNICIPALITY,MUKARO,NYERI,KIENI,3,MOH,-0.41983,36.94906
WAMAGANA HEALTH CENTRE,TETU,KARUNDU,NYERI,KIENI,3,MOH,-0.475806,36.9319
WARAZO HEALTH CENTRE,KIENI EAST,KABARU,NYERI,KIENI,3,MOH,-0.260355,37.11397
GAKOE HC,KAMWANGI,GITHOBOKONI,KIAMBU,GATUNDU NORTH,3,MOH,-0.875356,36.7836
GATURA HEALTH CENTRE,GATANGA,KARIARA,MURANG'A,MATHIOYA,3,MOH,-0.853212,36.861235
IGEGANIA HEALTH CENTRE,KAMWANGI,CHANIA,KIAMBU,GATUNDU NORTH,3,MOH,-0.982097,36.9528
KARATU HEALTH CENTRE,GATUNDU,NDARUGU,KIAMBU,GATUNDU NORTH,3,MOH,-0.928727,36.7836
KINYANGI HEALTH CENTRE,KAKUZI,KAKUZI,MURANG'A,MATHIOYA,3,MOH,-1.00517,37.3083
KIRWARA HEALTH CENTRE,KAMWANGI,CHANIA,KIAMBU,GATUNDU NORTH,3,MOH,-0.923212,36.90321
MUGUTHA HEALTH CENTRE,RUIRU,RUIRU,KIAMBU,GATUNDU NORTH,3,MOH,-1.14266,36.9686
MUNYU HEALTH CENTRE,MUNICIPALITY,GATUANYAGA,KIAMBU,GATUNDU NORTH,3,MOH,-1.11553,37.1134
NGENDA HEALTH CENTRE,GATUNDU,KIAMWANGI,KIAMBU,GATUNDU NORTH,3,MOH,-1.03185,36.8944
NGORIBA HEALTH CENTRE,MUNICIPALITY,GATUANYAGA,KIAMBU,GATUNDU NORTH,3,MOH,-1.04723,37.2776
NGORONGO HEALTH CENTRE,KAMWANGI,CHANIA,KIAMBU,GATUNDU NORTH,3,MOH,-0.919681,36.9044
RUIRU HEALTH CENTRE,RUIRU,RUIRU,KIAMBU,GATUNDU NORTH,3,MOH,-1.11779,36.9066
BAMBA HEALTH CENTRE,BAMBA,BAMBA,KILIFI,KALOLENI,3,MOH,-3.54541,39.523701
JIBANA HEALTH CENTRE,KALOLENI,JIBANA,KILIFI,KALOLENI,3,MOH,-3.83107,39.686451
KIZINGO H C,CHONYI,MWARAKAYA,KILIFI,KALOLENI,3,MOH,-3.782055,39.676958
MARIAKANI HEALTH CENTRE,KALOLENI,MARIAKANI,KILIFI,KALOLENI,3,MOH,-3.85673,39.49386
NANDI SOUTH DISTRICT HOSP,,,,,1,MOH,0.00E+00,0.00E+00
NDONYERO HEALTH CENTRE,,,,,3,MOH,0.00E+00,0.00E+00
RABAI HEALTH CENTRE,KALOLENI,RABAI,KILIFI,KALOLENI,3,MOH,-3.93892,39.566319
GATEGI H C,MWEA,GATEGI,,,3,MOH,0.00E+00,0.00E+00
VIPINGO HEALTH CENTRE,KIKAMBALA,JUNJU,KILIFI,KALOLENI,3,MOH,-3.81929,39.809422
KIKONENI H C,MSAMBWENI,KIKONENI,KWALE,KINANGO,3,MOH,-4.44607,39.3135
SAMBURU H C,SAMBURU,SAMBURU,KWALE,KINANGO,3,MOH,-3.79005,39.2698
SHIMBA HILLS H C,KUBO,MAJIMBONI,KWALE,KINANGO,3,MOH,-4.35774,39.4179
TARU HEALTH CENTRE,SAMBURU,TARU,KWALE,KINANGO,3,MOH,-3.75431,39.1423
TIWI RURAL H T C,MATUGA,TIWI,KWALE,KINANGO,3,MOH,-4.24935,39.5869
VANGA H C,MSAMBWENI,VANGA,KWALE,KINANGO,3,MOH,-4.660974,39.217396
BARGONI HEALTH CENTRE,HINDI,HINDI MAGOGONI,LAMU,LAMU WEST,3,MOH,-2.057423,40.795232
FAZA HEALTH CENTRE,FAZA,TCHUNDWA,LAMU,LAMU WEST,3,MOH,-2.071384,41.106066
KIUNGA HEALTH CENTRE,KIUNGA,KIUNGA,LAMU,LAMU WEST,3,MOH,-1.741314,41.489472
